,OA,mIoU,F1
PointNet,0.71787109375,0.3636519927829322,0.45805563743312827
PointNet++,0.5231510416666667,0.24114270977385743,0.3641808989334191
DGCNN,0.8490755208333334,0.583521155384867,0.6842179778142536
